campaign_id,platform,klike_score,rank,attribute,recommendation,estimated_impact
KLK-0001,Meta,63.6,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0001,Meta,63.6,2,format,"Switch ad format from 'vertical' to 'quadrado'. On Meta, 'quadrado' format averages +3.7 klike_score points higher.",3.65
KLK-0002,LinkedIn,70.0,1,text_density,"Switch text density from 'low' to 'medium'. On LinkedIn, 'medium' text density averages +5.9 klike_score points higher.",5.9
KLK-0003,TikTok,99.1,1,video_duration_s,"Increase video duration from 8s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +8.8 klike_score points vs your current range.",8.79
KLK-0004,TikTok,74.9,1,format,"Switch ad format from 'quadrado' to 'vertical'. On TikTok, 'vertical' format averages +9.1 klike_score points higher.",9.08
KLK-0004,TikTok,74.9,2,has_subtitle,"Add subtitles / captions to your creative. On TikTok, creatives WITH this attribute score ~7.9 klike_score points higher on average; CTR could improve by ~11%.",7.95
KLK-0004,TikTok,74.9,3,video_duration_s,"Increase video duration from 27s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +7.7 klike_score points vs your current range.",7.72
KLK-0005,Meta,77.9,1,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0005,Meta,77.9,2,format,"Switch ad format from 'vertical' to 'quadrado'. On Meta, 'quadrado' format averages +3.7 klike_score points higher.",3.65
KLK-0005,Meta,77.9,3,video_duration_s,"Increase video duration from 34s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +2.8 klike_score points vs your current range.",2.81
KLK-0006,Meta,75.6,1,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0006,Meta,75.6,2,video_duration_s,"Increase video duration from 26s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +6.4 klike_score points vs your current range.",6.43
KLK-0006,Meta,75.6,3,format,"Switch ad format from 'vertical' to 'quadrado'. On Meta, 'quadrado' format averages +3.7 klike_score points higher.",3.65
KLK-0007,Meta,64.9,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0007,Meta,64.9,2,has_cta,"Add a clear call-to-action to your creative. On Meta, creatives WITH this attribute score ~7.6 klike_score points higher on average; CTR could improve by ~6%.",7.61
KLK-0008,LinkedIn,61.4,1,has_hook,"Add hook in the first 3 seconds to your creative. On LinkedIn, creatives WITH this attribute score ~15.9 klike_score points higher on average; CTR could improve by ~52%.",15.95
KLK-0008,LinkedIn,61.4,2,video_duration_s,"Increase video duration from 37s to ~75s. The optimal duration bucket for LinkedIn is '>60s', which averages +11.8 klike_score points vs your current range.",11.84
KLK-0008,LinkedIn,61.4,3,text_density,"Switch text density from 'low' to 'medium'. On LinkedIn, 'medium' text density averages +5.9 klike_score points higher.",5.9
KLK-0009,TikTok,84.2,1,has_hook,"Add hook in the first 3 seconds to your creative. On TikTok, creatives WITH this attribute score ~17.3 klike_score points higher on average; CTR could improve by ~40%.",17.29
KLK-0009,TikTok,84.2,2,text_density,"Switch text density from 'high' to 'medium'. On TikTok, 'medium' text density averages +11.6 klike_score points higher.",11.61
KLK-0009,TikTok,84.2,3,video_duration_s,"Increase video duration from 10s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +8.8 klike_score points vs your current range.",8.79
KLK-0010,TikTok,46.5,1,has_hook,"Add hook in the first 3 seconds to your creative. On TikTok, creatives WITH this attribute score ~17.3 klike_score points higher on average; CTR could improve by ~40%.",17.29
KLK-0010,TikTok,46.5,2,video_duration_s,"Increase video duration from 12s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +13.4 klike_score points vs your current range.",13.42
